City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Darnah,LY,32.77,22.64,74.95,79,0,4.9,clear sky
83,Kamenka,RU,51.32,42.77,57.06,64,83,11.07,moderate rain
84,Alta Floresta,BR,-9.88,-56.09,99.84,12,2,4.88,clear sky
85,Avarua,CK,-21.21,-159.78,73.4,69,87,11.41,overcast clouds
86,Disna,BY,55.57,28.2,57.78,95,34,9.35,scattered clouds
87,Souillac,MU,-20.52,57.52,68.0,68,75,17.22,broken clouds
88,Puerto Ayora,EC,-0.74,-90.35,77.0,57,20,20.8,few clouds
89,Kavieng,PG,-2.57,150.8,82.9,79,91,14.7,light rain
90,Adrar,MR,20.5,-10.07,101.21,13,77,4.99,broken clouds
91,Ostrovnoy,RU,68.05,39.51,47.93,93,95,7.45,light rain
92,Tasiilaq,GL,65.61,-37.64,37.4,69,54,1.03,broken clouds
93,Hamilton,US,39.18,-84.53,79.0,47,40,11.41,scattered clouds
94,Russell,US,32.35,-85.2,89.6,49,20,9.17,few clouds
95,Yellowknife,CA,62.46,-114.35,48.2,49,75,12.75,broken clouds
96,Esperance,AU,-33.87,121.9,51.8,93,58,16.11,broken clouds
97,Edelira,PY,-26.75,-55.27,64.81,76,100,5.06,overcast clouds
98,Banjar,ID,-8.19,114.97,75.2,100,20,2.24,few clouds
99,Manzil Salim,TN,35.86,8.48,62.6,77,40,9.17,scattered clouds
100,Hay River,CA,60.82,-115.8,51.8,43,20,13.87,few clouds
101,Tuktoyaktuk,CA,69.45,-133.04,33.8,84,90,12.75,shower rain
102,Uzhur,RU,55.3,89.83,41.9,84,39,4.34,scattered clouds
103,Mendi,PG,-6.18,143.65,55.72,99,90,0.96,overcast clouds
104,Villarrubia De Los Ojos,ES,39.22,-3.61,70.0,73,20,4.7,few clouds
105,Upernavik,GL,72.79,-56.15,29.35,83,0,5.99,clear sky
106,Oktyabrskoye,RU,43.06,44.74,62.6,88,0,4.47,clear sky
107,Talara,PE,-4.58,-81.27,65.62,82,33,14.34,scattered clouds
108,Cape Town,ZA,-33.93,18.42,52.0,76,75,4.7,broken clouds
109,Vuktyl,RU,63.86,57.31,46.81,94,96,9.08,light rain
110,Mahebourg,MU,-20.41,57.7,68.0,68,75,17.22,broken clouds
111,Port Blair,IN,11.67,92.75,82.02,77,100,8.37,moderate rain
112,Ornskoldsvik,SE,63.29,18.72,48.2,66,51,12.75,broken clouds
113,Yar-Sale,RU,66.83,70.83,49.62,84,100,19.1,light rain
114,Hailar,CN,49.2,119.7,44.4,64,75,6.02,broken clouds
115,Salalah,OM,17.02,54.09,80.6,78,75,4.7,broken clouds
116,Kodiak,US,57.79,-152.41,55.4,62,1,4.7,clear sky
117,Saint-Philippe,RE,-21.36,55.77,64.4,63,54,8.05,broken clouds
118,Ancud,CL,-41.87,-73.82,49.75,86,99,6.87,overcast clouds
119,Severo-Kurilsk,RU,50.68,156.12,51.24,82,12,14.14,few clouds
120,Hohhot,CN,40.81,111.65,53.6,81,100,2.24,light rain
121,Tacuati,PY,-23.45,-56.58,83.98,48,6,7.02,clear sky
122,Acapulco,MX,16.86,-99.89,86.0,74,75,5.82,broken clouds
123,Havoysund,NO,71.0,24.66,48.2,81,75,9.17,shower rain
124,Praya,CV,14.92,-23.51,79.97,82,91,6.98,overcast clouds
125,Marzuq,YE,14.4,46.47,81.79,39,14,5.53,few clouds
126,Mountain Home,US,43.13,-115.69,87.8,6,20,5.32,few clouds
127,Kimbe,PG,-5.55,150.14,78.01,82,68,5.32,light rain
128,Xiamen,CN,24.48,118.08,78.8,83,75,4.47,broken clouds
129,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,41.0,80,0,15.66,clear sky
130,Dzhebariki-Khaya,RU,62.22,135.8,44.49,85,100,5.64,overcast clouds
131,Hobart,AU,-42.88,147.33,52.0,57,40,11.41,scattered clouds
132,Mao,ES,39.89,4.27,73.4,88,2,6.93,clear sky
133,Asau,RO,46.43,26.4,57.99,93,0,3.49,light rain
134,Sitka,US,57.05,-135.33,60.8,48,1,4.7,clear sky
135,Sterling,US,39.01,-77.43,75.99,47,75,13.87,broken clouds
136,Saint George,US,37.1,-113.58,97.0,9,1,3.36,clear sky
137,Ribeira Grande,PT,38.52,-28.7,66.2,55,20,11.41,few clouds
138,Berlevag,NO,70.86,29.09,48.2,81,75,12.75,light rain
139,Hope Mills,US,34.97,-78.95,86.0,58,20,12.75,few clouds
140,Bandarbeyla,SO,9.49,50.81,79.45,72,80,24.29,broken clouds
141,Paracatu,BR,-17.22,-46.87,80.76,30,1,4.43,clear sky
142,Thompson,CA,55.74,-97.86,42.8,100,90,6.93,overcast clouds
143,Saint-Joseph,RE,-21.37,55.62,62.6,63,24,8.05,few clouds
144,Sioux Lookout,CA,50.1,-91.92,55.4,54,90,9.17,overcast clouds
145,Kolosovka,RU,56.47,73.61,51.22,70,4,9.89,clear sky
146,Torbay,CA,47.67,-52.73,68.0,100,90,18.34,light rain
147,Airai,TL,-8.93,125.41,53.2,89,3,3.42,clear sky
148,La Brea,HN,15.8,-85.97,86.47,71,55,6.31,broken clouds
149,Redmond,US,47.67,-122.12,69.01,73,100,2.93,overcast clouds
150,Pevek,RU,69.7,170.31,40.3,85,100,5.17,overcast clouds
151,Georgetown,MY,5.41,100.34,78.8,88,20,6.93,heavy intensity rain
152,Ponta Do Sol,PT,32.67,-17.1,73.4,73,20,9.17,few clouds
153,Talnakh,RU,69.49,88.4,46.4,100,100,8.95,light rain
154,Gorontalo,ID,0.54,123.06,75.85,82,100,5.19,overcast clouds
155,Bani,DO,18.28,-70.33,89.6,66,75,9.17,broken clouds
156,Tambopata,PE,-12.73,-69.18,88.36,49,44,7.0,scattered clouds
157,Camacha,PT,33.08,-16.33,73.4,73,20,4.7,few clouds
158,Dicabisagan,PH,17.08,122.42,79.32,79,100,4.29,overcast clouds
159,Batemans Bay,AU,-35.72,150.18,46.99,98,60,2.06,broken clouds
160,San Quintin,MX,30.48,-115.95,82.22,45,0,11.03,clear sky
161,Bengkulu,ID,-3.8,102.27,74.86,92,58,4.18,broken clouds
162,Maningrida,AU,-12.07,134.27,68.83,87,93,8.19,overcast clouds
163,Gerash,IR,27.67,54.14,80.6,24,0,3.94,clear sky
164,Mandalay,MM,21.97,96.08,78.26,89,100,4.43,overcast clouds
165,Jaru,BR,-10.44,-62.47,104.45,10,18,5.3,few clouds
166,Cozumel,MX,20.51,-86.95,91.4,59,40,8.05,scattered clouds
167,Kharp,RU,66.8,65.81,48.22,94,100,9.22,light rain
168,Kyren,RU,51.68,102.14,42.75,82,100,1.86,overcast clouds
169,Warrnambool,AU,-38.38,142.48,46.99,92,82,8.34,broken clouds
170,Barrow,US,71.29,-156.79,37.4,93,90,9.17,fog
171,Faya,SA,18.39,42.45,69.8,72,74,3.06,broken clouds
172,Yulara,AU,-25.24,130.99,57.2,35,0,6.93,clear sky
173,East London,ZA,-33.02,27.91,59.65,62,3,15.32,clear sky
174,Lavrentiya,RU,65.58,-171.0,43.83,96,100,7.52,light rain
175,North Bend,US,43.41,-124.22,75.0,72,40,12.75,haze
176,Sabang,ID,5.89,95.32,82.69,76,25,18.12,scattered clouds
177,Rawalpindi,PK,33.6,73.07,80.01,78,40,11.41,scattered clouds
178,Hearst,CA,49.68,-83.67,56.12,45,0,5.88,clear sky
179,Biak,ID,-0.91,122.88,75.67,80,100,9.24,overcast clouds
180,High Level,CA,58.52,-117.14,50.0,57,40,8.05,scattered clouds
181,Tiksi,RU,71.69,128.87,39.38,89,4,8.21,clear sky
182,Hervey Bay,AU,-25.3,152.85,61.0,92,0,4.0,clear sky
183,Sao Joao Da Barra,BR,-21.64,-41.05,78.8,61,0,20.8,clear sky
184,Mar Del Plata,AR,-38.0,-57.56,55.4,47,0,9.17,clear sky
185,Bathsheba,BB,13.22,-59.52,87.8,62,20,16.11,few clouds
186,Victoria,HK,22.29,114.16,82.0,91,99,13.0,light rain
187,Kodinsk,RU,58.69,99.18,44.42,92,0,2.17,clear sky
188,Cherskiy,RU,68.75,161.3,45.43,74,88,7.9,overcast clouds
189,Mahanoro,MG,-19.9,48.8,66.38,81,85,3.29,overcast clouds
190,Mandera,KE,3.94,41.87,82.17,58,23,15.9,few clouds
191,Bonthe,SL,7.53,-12.51,77.74,88,79,6.82,light rain
192,Alipur Chatha,PK,32.27,73.82,84.2,83,0,4.85,smoke
193,Balaghat,IN,21.8,80.18,77.36,80,98,3.0,overcast clouds
194,Bethel,US,41.37,-73.41,73.0,43,20,12.75,few clouds
195,West Fargo,US,46.88,-96.9,73.4,56,1,14.99,clear sky
196,Mangrol,IN,21.12,70.12,81.03,85,73,8.61,broken clouds
197,Cockburn Town,TC,21.46,-71.14,83.44,77,100,10.51,overcast clouds
198,Sao Filipe,CV,14.9,-24.5,79.56,82,94,7.4,overcast clouds
199,Slave Lake,CA,55.28,-114.77,42.8,87,90,4.7,overcast clouds
200,Urumqi,CN,43.8,87.6,60.8,31,0,6.71,clear sky
201,Pietermaritzburg,ZA,-29.62,30.39,62.01,88,100,3.51,overcast clouds
202,Puerto Madryn,AR,-42.77,-65.04,69.08,28,11,12.17,few clouds
203,Wharton,US,29.31,-96.1,90.0,55,75,10.29,broken clouds
204,Avera,US,33.19,-82.53,89.6,55,40,4.7,scattered clouds
205,Vostok,RU,46.49,135.88,44.11,62,98,2.57,overcast clouds
206,Sakakah,SA,29.97,40.21,87.8,11,52,4.7,broken clouds
207,Walvis Bay,NA,-22.96,14.51,55.0,58,0,4.7,clear sky
208,Chokurdakh,RU,70.63,147.92,40.68,96,34,9.35,scattered clouds
209,Qaqortoq,GL,60.72,-46.03,48.2,42,100,16.11,light rain
210,Vzmorye,RU,54.7,20.24,55.4,93,0,4.47,clear sky
211,Caucaia,BR,-3.74,-38.65,80.6,74,100,19.46,overcast clouds
212,Lorengau,PG,-2.02,147.27,82.76,78,97,10.83,overcast clouds
213,Hami,CN,42.8,93.45,60.39,28,0,9.69,clear sky
214,Naze,JP,28.37,129.48,77.0,100,75,4.7,broken clouds
215,Marsh Harbour,BS,26.54,-77.06,84.06,66,32,5.01,scattered clouds
216,Srednekolymsk,RU,67.45,153.68,41.56,80,0,7.45,clear sky
217,Andros,GR,37.83,24.93,77.0,66,0,8.99,clear sky
218,Acarau,BR,-2.89,-40.12,78.6,70,96,18.63,overcast clouds
219,Brignais,FR,45.67,4.75,80.6,42,6,11.41,clear sky
220,Quatre Cocos,MU,-20.21,57.76,68.0,68,75,17.22,broken clouds
221,San Angelo,US,31.46,-100.44,84.0,39,1,9.17,clear sky
222,Caravelas,BR,-17.71,-39.25,72.61,75,0,6.53,clear sky
223,Lata,PT,40.16,-8.33,68.0,88,0,6.93,clear sky
224,Wiang Sa,TH,8.64,99.37,81.0,86,100,2.57,overcast clouds
225,Troy,US,42.61,-83.15,66.99,48,40,8.05,scattered clouds
226,Kawambwa,ZM,-9.79,29.08,68.83,47,18,4.97,few clouds
227,Shache,CN,38.42,77.24,66.52,35,100,6.64,overcast clouds
228,Sisimiut,GL,66.94,-53.67,37.65,72,2,5.73,clear sky
229,Bambous Virieux,MU,-20.34,57.76,68.0,68,75,17.22,broken clouds
230,Arman,RU,59.7,150.17,51.26,55,69,4.72,broken clouds
231,Daru,PG,-9.08,143.21,76.77,86,100,13.47,overcast clouds
232,Nichinan,JP,31.6,131.37,71.6,88,90,2.24,mist
233,Huacho,PE,-11.11,-77.61,64.56,73,29,9.93,scattered clouds
234,Ishigaki,JP,24.34,124.16,83.8,76,49,9.13,scattered clouds
235,Allahabad,IN,25.45,81.85,84.24,72,97,3.51,overcast clouds
236,Nome,US,64.5,-165.41,50.0,93,90,19.46,moderate rain
237,San Cristobal,VE,7.77,-72.22,89.6,52,40,12.75,scattered clouds
238,Vila Franca Do Campo,PT,37.72,-25.43,66.2,63,20,5.82,few clouds
239,Belyy Yar,RU,53.6,91.39,39.2,93,0,2.24,clear sky
240,Awjilah,LY,29.11,21.29,87.39,29,14,9.15,few clouds
241,Kruisfontein,ZA,-34.0,24.73,54.0,63,0,4.0,clear sky
242,Te Anau,NZ,-45.42,167.72,42.12,82,84,3.91,light rain
243,Porto Belo,BR,-27.16,-48.55,66.99,72,40,18.34,heavy intensity rain
244,Wasilla,US,61.58,-149.44,57.99,62,90,2.55,overcast clouds
245,San Luis,AR,-33.3,-66.34,69.84,21,0,13.35,clear sky
246,Krasnoborsk,RU,61.56,45.93,45.61,92,83,8.43,light rain
247,Seymchan,RU,62.88,152.43,44.89,68,100,1.07,overcast clouds
248,Nanortalik,GL,60.14,-45.24,41.59,80,100,28.57,light rain
249,Mandalgovi,MN,45.76,106.27,38.3,77,100,13.13,light rain
250,Nantucket,US,41.28,-70.1,73.4,53,1,17.22,clear sky
251,Longyearbyen,SJ,78.22,15.64,35.6,95,75,6.93,light intensity drizzle rain
252,Kastamonu,TR,41.5,33.67,54.73,65,0,2.1,clear sky
253,Puerto Del Rosario,ES,28.5,-13.86,73.4,83,20,13.87,few clouds
254,Wickede,DE,51.48,7.87,71.6,60,84,4.7,broken clouds
255,Kismayo,SO,-0.36,42.55,77.43,85,53,15.03,broken clouds
256,Meulaboh,ID,4.14,96.13,76.91,88,91,3.83,overcast clouds
257,Broome,US,42.25,-75.83,64.0,48,1,17.22,clear sky
258,Carnarvon,AU,-24.87,113.63,64.4,100,39,4.7,scattered clouds
259,Alizai,PK,33.54,70.35,77.56,42,0,2.21,clear sky
260,San Jeronimo,PE,-11.95,-75.28,60.76,41,83,7.61,broken clouds
261,Ayr,GB,55.46,-4.63,60.8,87,20,0.51,few clouds
262,Fairbanks,US,64.84,-147.72,51.01,75,90,0.85,haze
263,Faanui,PF,-16.48,-151.75,78.31,75,1,11.79,clear sky
264,Severnyy-Kospashskiy,RU,59.09,57.8,48.99,100,100,3.42,light rain
265,Biltine,TD,14.53,20.92,84.13,59,0,7.92,clear sky
266,Chara,RU,56.91,118.26,50.95,89,100,3.44,moderate rain
267,Hofn,IS,64.25,-15.21,47.25,76,0,8.32,clear sky
268,Murray Bridge,AU,-35.12,139.27,46.0,93,0,0.98,clear sky
269,Kajaani,FI,64.23,27.73,50.0,81,0,13.87,clear sky
270,Kiruna,SE,67.86,20.23,39.2,86,0,5.82,clear sky
271,Sohag,EG,26.56,31.69,89.6,24,0,10.29,clear sky
272,Chapais,CA,49.78,-74.85,48.2,61,40,12.75,scattered clouds
273,Grindavik,IS,63.84,-22.43,44.6,93,20,8.05,few clouds
274,Anadyr,RU,64.75,177.48,46.4,100,75,15.66,light rain
275,Juba,SS,4.85,31.58,71.89,82,0,2.08,clear sky
276,Ilulissat,GL,69.22,-51.1,32.0,84,0,3.36,clear sky
277,Coremas,BR,-7.01,-37.95,83.19,42,88,13.35,overcast clouds
278,Dawson Creek,CA,55.77,-120.24,42.8,93,90,9.17,overcast clouds
279,Kudahuvadhoo,MV,2.67,72.89,82.35,75,9,8.3,clear sky
280,Touros,BR,-5.2,-35.46,78.8,74,40,10.29,scattered clouds
281,Yei,SS,4.09,30.68,67.15,93,31,2.01,scattered clouds
282,Tulun,RU,54.56,100.58,43.23,94,55,7.76,broken clouds
283,Nouadhibou,MR,20.93,-17.03,82.4,61,0,14.99,clear sky
284,Port Augusta,AU,-32.5,137.77,48.0,100,0,5.82,clear sky
285,Fergus Falls,US,46.28,-96.08,72.0,60,1,16.11,clear sky
286,Port Lincoln,AU,-34.73,135.87,52.0,86,99,7.36,light rain
287,Bima,ID,-8.47,118.72,70.75,85,56,3.02,broken clouds
288,Alofi,NU,-19.06,-169.92,75.2,73,90,14.99,overcast clouds
